transaction_id,car_id
1,2827
1,3918
1,3328
2,3526
2,3442
3,4145
3,4077
3,3812
4,3139
4,3667
5,2718
5,2960
5,3452
6,3010
6,3340
6,2881
7,3966
7,2785
8,3348
8,3186
9,2831
9,3608
10,3484
10,3700
11,3334
11,3486
11,3241
12,3273
12,3909
13,4110
13,2839
14,3537
14,3742
15,4032
15,2931
15,2934
16,3977
16,3259
16,3230
17,3797
17,2712
18,2909
18,3541
18,4123
19,3166
19,2709
19,3858
20,3638
20,3857
20,3096
21,4114
21,2994
21,3728
22,3014
22,2740
23,2997
23,2764
24,3879
24,3336
25,3181
25,4136
25,3097
26,3548
26,3768
27,4071
27,3667
27,3734
28,3882
28,4140
29,3098
29,2788
30,2797
30,3876
31,3952
31,3703
32,3218
32,3520
33,3383
33,2761
34,3442
34,2885
35,2828
35,3950
36,3678
36,4036
36,3815
37,2983
37,3930
38,3928
38,3315
38,3163
39,2941
39,3250
39,2879
40,3368
40,3904
40,3969
41,4109
41,3888
41,3865
42,2905
42,3517
42,3238
43,3406
43,4072
43,3482
44,3864
44,2891
44,4126
45,3763
45,2892
46,2854
46,4004
47,3116
47,3581
48,3444
48,3238
49,3823
49,3705
49,3691
50,3739
50,3071
51,3387
51,3152
52,3333
52,3593
53,3465
53,3442
53,2943
54,3954
54,2764
55,2932
55,2766
55,3014
56,3375
56,2991
57,4065
57,2766
57,3378
58,3654
58,2859
58,3935
59,2876
59,2904
59,3082
60,3589
60,4108
60,2695
61,3494
61,3351
61,3866
62,2952
62,4125
63,2716
63,3806
63,2729
64,3230
64,3484
65,3546
65,3055
65,4064
66,3006
66,3066
67,3547
67,3653
68,2971
68,2979
69,3844
69,3514
69,3093
70,3570
70,4061
70,2836
71,3088
71,3908
72,3059
72,3340
73,3261
73,3376
74,4045
74,3446
74,3650
75,3857
75,3599
75,4149
76,3899
76,3442
76,4093
77,3042
77,3326
78,3627
78,2934
78,3319
79,3293
79,2782
80,3836
80,3664
81,3587
81,3326
81,3554
82,2961
82,3690
82,3519
83,2814
83,3925
83,3345
84,2706
84,3870
84,3223
85,2929
85,4022
85,3878
86,4022
86,3310
87,2913
87,3049
87,3699
88,2789
88,2882
89,3031
89,3481
90,2769
90,3669
91,3218
91,2876
91,3528
92,3025
92,3498
92,2916
93,3878
93,3449
94,3196
94,3333
94,3999
95,3797
95,3285
96,4029
96,2777
97,3900
97,3912
98,3401
98,3907
98,3786
99,3986
99,2779
99,4135
100,4051
100,2804
101,3808
101,2983
101,4077
102,3205
102,3690
102,3219
103,3347
103,2695
103,3972
104,3617
104,3383
104,3978
105,3080
105,3873
106,3682
106,3914
107,4076
107,4003
108,3210
108,3002
108,4114
109,3648
109,2786
109,3909
110,4090
110,3100
110,3116
111,3567
111,3885
112,3789
112,3269
112,3612
113,2811
113,3771
113,3697
114,2781
114,3684
114,3727
115,4019
115,3427
115,3789
116,3520
116,3694
117,3925
117,2716
117,3632
118,3855
118,3085
118,3911
119,4066
119,3792
120,4118
120,3234
121,3360
121,3912
121,3076
122,3138
122,3552
122,3856
123,3440
123,2703
123,2860
124,2934
124,3375
125,3079
125,3536
125,2775
126,3338
126,2828
127,4115
127,2806
127,3161
128,3646
128,2773
129,3945
129,2930
129,3804
130,3012
130,4131
130,2749
131,3613
131,3140
132,3406
132,3636
132,3133
133,3122
133,3376
134,3852
134,3951
134,2928
135,2785
135,3214
